    0    5   11 1      12.200   8.361
    1   10    5 1     238.800   8.360
    3    1    9 1     208.300   8.354
    2    9    5 1     457.600   8.347
    1   11    1 1     126.300   8.339
    3    7    5 1     189.600   8.337
    4    5    0 1     102.500   8.337
    3    4    8 1     228.700   8.335
    2    0   11 1     190.000   8.333
    4    2    5 1     705.000   8.330
    1    0   12 1     132.500   8.329
    0   11    3 1     158.700   8.329
    1    9    7 1     306.000   8.316
    2    7    8 1     423.600   8.312
    4    5    1 1     222.000   8.309
    2   10    2 1     212.800   8.309
    2    1   11 1     268.600   8.301
    1    1   12 1     163.700   8.297
    3    8    3 1     396.300   8.291
    0   10    6 1     328.800   8.268
    2    6    9 1     524.200   8.267
    1   11    2 1     184.200   8.258
    3    2    9 1      37.300   8.257
    0    3   12 1     141.300   8.248
    2    8    7 1     569.700   8.240
    4    5    2 1     669.000   8.229
    2    2   11 1     110.300   8.207
    1    2   12 1     194.700   8.203
    0    8    9 1     673.300   8.200
    4    4    4 1     724.400   8.192
    2   10    3 1     257.900   8.176
    4    3    5 1     212.800   8.173
    0    7   10 1     145.000   8.165
    4    0    6 1     197.400   8.162
    1    5   11 1     223.600   8.157
    0   11    4 1      24.100   8.143
    4    1    6 1     207.800   8.132
    1   11    3 1     305.300   8.127
    0    9    8 1     886.900   8.121
    2    5   10 1      97.400   8.110
    3    6    7 1     345.200   8.108
    3    8    4 1     626.000   8.108
    3    3    9 1     395.500   8.104
    4    5    3 1     753.000   8.099
    1   10    6 1     572.100   8.070
    2    9    6 1     503.800   8.059
    3    5    8 1     272.900   8.057
    2    3   11 1      67.000   8.056
    1    3   12 1     218.800   8.052
    3    7    6 2     215.900   8.050
    4    2    6 1     269.200   8.043
    0    4   12 1      97.700   8.037
    0    6   11 1      85.900   8.022
    3    9    0 1     302.500   8.008
    1    8    9 1     247.800   8.007
    4    6    0 1     160.100   8.001
    2   10    4 1     293.700   8.000
    3    9    1 1      64.800   7.983
    4    6    1 1      94.200   7.977
    1    7   10 1     494.000   7.975
    4    4    5 1     364.400   7.966
    1   11    4 1     147.100   7.954
    0   10    7 1     808.500   7.939
    1    9    8 1     483.200   7.934
    4    5    4 1     201.300   7.928
    0   11    5 1     250.700   7.921
    3    9    2 1     391.700   7.912
