    9    2    6 1   4297.6   84.3  12.752
    6    5    7 1   2183.4   52.3  12.740
    9    1    7 1    839.4   31.6  12.740
    6    1   10 1    573.6   29.6  12.740
    5    4    9 1   3700.5   70.7  12.734
    8    5    3 1    634.7   30.9  12.725
    1    1   12 1   3748.0  101.2  12.674
    5    0   11 1   2345.0   76.5  12.658
   10    3    0 1    814.8   49.3  12.655
   10    2    4 1   5053.0   99.3  12.652
    7    4    7 1   2232.2   49.7  12.649
    7    3    8 1   1888.4   45.4  12.643
    6    3    9 1   1324.3   36.3  12.643
    2    0   12 1   5712.3  147.2  12.628
   10    3    1 1   1463.2   36.0  12.612
    8    0    9 1   2424.3   74.1  12.598
    9    3    5 1   1863.9   43.5  12.585
    3    3   11 1    541.8   42.4  12.568
    9    0    8 1   1957.1   63.9  12.553
    9    4    3 1    920.7   34.1  12.544
   11    1    3 1    612.1   27.3  12.544
    6    6    6 1   2370.3   77.2  12.525
    4    2   11 1   3246.7   66.7  12.524
    7    6    4 1   3183.9   64.0  12.518
    4    4   10 1   7178.3  179.9  12.514
    2    1   12 1    307.2   29.5  12.495
   10    3    2 1    503.0   33.0  12.487
    7    5    6 1   1917.2   44.8  12.481
    8    3    7 1    727.6   27.5  12.471
    7    0   10 1   3190.4   89.8  12.470
    5    3   10 1   1631.0   37.0  12.470
    7    2    9 1   2508.9   54.6  12.465
   12    0    0 1    973.2   67.3  12.433
    8    5    4 1   3475.7   65.7  12.430
    8    2    8 1   3342.2   69.3  12.422
   11    0    5 1   1060.8   55.7  12.410
    3    0   12 1    622.5   43.2  12.408
   10    1    6 1    957.4   21.2  12.395
    5    1   11 1    901.6   31.0  12.393
   12    0    1 1   1981.2   64.5  12.393
    8    4    6 1   4016.8   79.7  12.352
   10    0    7 1   1317.2   50.7  12.342
    6    2   10 1   4868.0   94.0  12.341
   11    2    0 1   2587.0   69.4  12.306
    7    7    0 1   3887.0  142.2  12.306
   10    3    3 1    443.0   29.2  12.286
   10    2    5 1   1390.6   38.4  12.283
    2    2   12 1    470.2   41.7  12.281
   12    0    2 1    170.9   50.0  12.274
   11    2    1 1   3307.5   63.4  12.266
    7    7    1 1   1320.2   52.8  12.266
    8    6    0 1   1716.5   50.0  12.264
   11    1    4 1   2566.6   49.9  12.261
    9    4    4 1   3566.1   69.3  12.261
    3    1   12 1   3760.6   72.6  12.240
    8    6    1 1    835.7   31.6  12.225
    9    2    7 1    326.5   28.8  12.217
    8    1    9 1    264.6   31.0  12.212
    6    0   11 1   5069.4  130.1  12.185
    7    6    5 1   1172.5   35.8  12.160
   11    2    2 1   2778.8   54.7  12.151
    7    7    2 1   2552.8   75.5  12.151
    9    3    6 1   1583.0   41.6  12.146
    4    3   11 1   2214.4   48.6  12.144
    9    5    0 1   3953.8  121.5  12.142
    7    1   10 1   1647.3   41.7  12.135
    9    1    8 1   1292.7   33.6  12.131
    6    5    8 1   1400.1   37.2  12.131
    5    5    9 1   3342.2   93.1  12.131
    4    0   12 1    464.6   40.1  12.118
    8    6    2 1   2612.9   54.8  12.111
    9    5    1 1   1560.4   42.2  12.104
    6    4    9 1   3266.3   65.2  12.091
   12    0    3 1   1781.1   63.4  12.083
    8    5    5 1    357.1   27.9  12.080
    5    2   11 1   1266.5   35.7  12.065
    7    4    8 1   3482.2   71.9  12.052
   10    3    4 1    478.5   36.8  12.020
    6    6    7 1    413.8   50.5  12.017
    3    2   12 1   4053.0   77.5  12.000
    9    5    2 1   1878.1   38.1  11.993
   11    0    6 1   4636.6  122.7  11.988
    7    5    7 1   3856.1   77.1  11.979
    5    4   10 1    707.1   27.8  11.978
    7    3    9 1    594.8   26.3  11.974
    7    7    3 1    842.8   50.8  11.966
   11    2    3 1   2269.2   51.1  11.966
   10    4    0 1   3073.6   89.6  11.945
    8    6    3 1    517.9   34.6  11.927
   11    1    5 1   1553.1   40.7  11.925
    9    4    5 1    910.0   29.5  11.925
    4    1   12 1   1766.2   43.5  11.923
    6    1   11 1   2622.9   52.9  11.910
   10    4    1 1   2900.9   56.3  11.910
   12    1    0 1    722.9   45.1  11.907
   10    1    7 1   1057.1   34.0  11.902
    6    3   10 1   3055.6   63.3  11.901
    8    3    8 1    828.2   32.4  11.897
    9    0    9 1   3580.2   95.7  11.897
   10    2    6 1   4645.2   83.3  11.873
   12    1    1 1    653.8   26.0  11.872
    8    4    7 1   2682.0   55.4  11.864
    8    0   10 1    314.5   45.8  11.864
   12    0    4 1   1379.7   47.8  11.830
    9    5    3 1   2565.7   50.5  11.815
   10    4    2 1   3113.5   61.9  11.804
    1    0   13 1    741.6   46.3  11.791
   10    0    8 1   3170.6   90.8  11.786
    8    2    9 1   2526.0   51.0  11.785
