    7    0    9 1    400.0    9.7  10.635
   11    0    4 1   2588.8   34.9  10.634
    8    2    8 1   1335.9   16.0  10.628
    2    1   11 1   1208.3   12.9  10.624
    9    2    7 1    268.7    4.7  10.613
    7    6    7 1   2272.8   29.5  10.613
    5    5    9 1   2505.9   44.2  10.597
    7    1    9 1   1350.3   18.2  10.597
   11    1    4 1   1140.1   11.6  10.596
    5    2   10 1   1005.6   11.8  10.596
    8    6    6 1   2552.9   29.8  10.590
   10    0    6 1   3503.0   48.8  10.590
    9    7    3 1   1591.4   21.3  10.586
   11    3    3 2    820.5    9.4  10.586
   10    6    2 1   1034.8   14.3  10.569
    8    7    5 1   2922.0   33.1  10.559
   10    1    6 1   2042.5   20.9  10.553
   11    4    2 1   1643.6   19.1  10.531
    6    4    9 1   1402.3   19.3  10.522
    2    2   11 1    572.5    8.9  10.511
    7    2    9 1   2183.4   29.6  10.485
   11    2    4 1   1499.9   15.0  10.484
   10    5    4 1   1103.0   12.7  10.484
    4    4   10 1   5385.8   82.4  10.484
    6    6    8 1   2301.7   48.5  10.478
    3    0   11 1    861.6   15.0  10.474
    8    5    7 1    287.7    5.4  10.464
   10    4    5 1    948.3   11.3  10.448
   10    2    6 1   2357.9   24.0  10.442
    8    3    8 1   2243.1   22.9  10.442
    3    1   11 1   2863.0   30.4  10.438
   12    0    0 1   1390.0   27.4  10.437
    9    3    7 1   3763.1   42.2  10.428
    9    6    5 2   2748.6   31.1  10.412
    5    3   10 1    948.7   11.9  10.411
    7    5    8 1   3134.4   40.3  10.406
    9    8    0 1   1573.3   26.8  10.401
   12    1    0 1    806.5   11.8  10.401
   12    0    1 1   1079.8   16.8  10.397
    8    8    4 1   2219.3   39.5  10.375
    9    5    6 1   2461.7   29.8  10.370
   10    6    3 1   2293.3   27.1  10.366
   11    5    0 1   1415.3   24.1  10.365
    9    8    1 1   1377.5   18.6  10.361
   12    1    1 1    689.7    8.1  10.361
    6    0   10 1   1217.0   20.8  10.340
   11    4    3 1   2468.2   25.2  10.331
    3    2   11 1   3333.1   39.7  10.331
   11    5    1 1   2690.6   32.4  10.326
    7    3    9 1    207.6    4.3  10.306
    9    7    4 1   3073.9   35.8  10.305
   11    3    4 1   2121.4   21.7  10.305
    6    1   10 1   1584.4   18.3  10.305
   12    2    0 1    317.8    6.6  10.295
   12    0    2 1   2722.9   48.3  10.280
   11    0    5 1    211.7    4.9  10.271
   10    3    6 1   3965.4   45.8  10.265
