    2    4   11 1     231.800   8.159
    7    3    0 1      29.800   8.153
    3    9    0 1     410.400   8.151
    7    2    3 2     153.600   8.133
    7    3    1 2     123.300   8.127
    3    9    1 1     203.100   8.125
    7    0    4 1     245.400   8.121
    2    9    4 1     149.100   8.119
    1    9    5 1     325.200   8.115
    4    8    3 1     240.700   8.106
    5    2    9 1     273.500   8.102
    0    7    9 1     277.400   8.100
    1    3   12 1     134.800   8.091
    6    2    7 1     417.900   8.091
    4    3   10 2     246.700   8.085
    1    6   10 1     648.800   8.084
    0    5   11 2      31.500   8.084
    7    1    4 1     180.900   8.080
    3    3   11 1     136.500   8.076
    2    2   12 1      65.200   8.075
    5    7    3 1     255.700   8.057
    6    5    4 1     453.800   8.055
    7    3    2 1     312.700   8.052
    3    9    2 1     299.000   8.050
    4    7    6 1     236.400   8.046
    5    5    7 1     277.600   8.041
    5    4    8 1     330.300   8.035
    0   10    0 1     286.700   8.035
    1    7    9 1     413.000   8.027
    1    5   11 1     170.700   8.011
    0   10    1 1     789.700   8.011
    6    6    0 1     291.800   8.005
    2    8    7 1     463.500   7.992
    6    6    1 1     238.900   7.981
    3    6    9 1      98.200   7.972
    1   10    0 1     742.200   7.964
    7    2    4 1     411.100   7.960
    3    8    6 1     109.200   7.950
    3    5   10 1     263.300   7.949
    1   10    1 1     452.700   7.940
    0   10    2 1     588.100   7.939
    4    8    4 1     106.000   7.935
    4    0   11 1     229.300   7.934
    7    3    3 1     150.000   7.932
    3    9    3 1     214.200   7.930
    6    4    6 1     331.800   7.929
    5    6    6 1     422.500   7.920
    0    9    6 1     400.700   7.919
    0    8    8 1     268.900   7.916
    0    0   13 0       0.000   7.914
    4    5    9 1     229.800   7.910
    6    6    2 1     345.900   7.910
    5    3    9 1     106.700   7.903
    7    0    5 1     142.800   7.903
    2    9    5 1     298.300   7.900
    4    1   11 1     408.200   7.895
    6    3    7 1      50.500   7.893
    5    7    4 1     314.900   7.890
    6    0    8 1     101.300   7.887
    4    6    8 1     407.600   7.886
    0    4   12 1     333.900   7.886
    3    0   12 1      26.800   7.878
    2    3   12 1     122.500   7.878
    0    1   13 1     786.500   7.876
    7    4    0 1     204.200   7.874
    2    6   10 1      57.400   7.872
    3    7    8 1     339.400   7.871
    1   10    2 1     466.000   7.870
    7    1    5 1     319.300   7.865
    7    4    1 1     388.700   7.851
    1    9    6 1     167.700   7.851
    6    1    8 1     211.800   7.850
    1    8    8 1     508.900   7.848
    1    0   13 1     224.500   7.846
    6    5    5 1     132.100   7.842
    3    1   12 1     186.400   7.841
    0   10    3 1     591.700   7.823
    2    7    9 1      54.800   7.819
    1    4   12 1      57.600   7.818
    4    4   10 1      52.000   7.813
    1    1   13 1     171.600   7.809
    5    0   10 2     183.800   7.806
    3    4   11 1     508.700   7.805
    2    5   11 1     349.300   7.805
    6    6    3 1     193.100   7.796
    7    4    2 1     162.900   7.784
    4    2   11 1     288.200   7.783
    7    3    4 1     102.500   7.772
    3    9    4 1      89.500   7.770
    5    1   10 1      88.400   7.769
    0    2   13 1     725.000   7.765
    2   10    0 2     334.500   7.761
    1   10    3 1     387.300   7.757
    7    2    5 1     406.700   7.754
    4    7    7 1     195.000   7.744
    6    2    8 1     181.700   7.740
    2   10    1 1     360.100   7.739
    3    2   12 1     332.800   7.731
